year,shot,miss,block,goal,total
2007,65294,26889,29648,7034,128865
2008,67671,28492,32237,7345,135745
2009,68390,29017,33422,7245,138074
2010,68580,29108,34902,7045,139635
2011,67223,28686,34796,6954,137659
2012,38467,16536,20597,4048,79648
2013,68009,29067,34757,6986,138819
2014,67704,28776,35598,6929,139007
2015,66979,28635,34845,6803,137262
2016,68030,29123,34994,6928,139075
2017,74176,31195,37423,7691,150485
2018,72708,30392,36261,7765,147126
2019,61843,25261,29615,6648,123367
2020,47221,19350,22554,5176,94301
2021,75232,30424,35369,8374,149399
