player,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Jarome Iginla,98,89,0,86,0,0,0,0,0,0,0,0,0,0,0
Brad Marchand,0,0,0,0,0,0,0,0,0,85,0,100,87,69,0
Zach Parise,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin St. Louis,0,0,94,99,0,60,0,0,0,0,0,0,0,0,0
Henrik Zetterberg,92,0,0,80,0,0,0,0,0,0,0,0,0,0,0
Jonathan Huberdeau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
Phil Kessel,0,0,0,0,82,52,80,0,0,0,92,0,0,0,0
Marian Gaborik,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0
Patrik Elias,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0
Johnny Gaudreau,0,0,0,0,0,0,0,0,78,0,0,99,0,0,115
Sidney Crosby,0,103,109,0,0,56,104,84,85,89,89,100,0,62,0
Pavel Datsyuk,97,97,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamie Benn,0,0,0,0,0,0,79,87,89,0,0,0,0,0,0
Connor McDavid,0,0,0,0,0,0,0,0,0,100,108,116,97,105,123
Teemu Selanne,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0
Tyler Seguin,0,0,0,0,0,0,84,77,0,0,0,0,0,0,0
Vladimir Tarasenko,0,0,0,0,0,0,0,73,0,75,0,0,0,0,0
Kirill Kaprizov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
Artemi Panarin,0,0,0,0,0,0,0,0,77,0,0,0,95,0,0
Brent Burns,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0
Mikko Rantanen,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0
Erik Karlsson,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0
Evgeni Malkin,106,113,0,0,109,0,0,0,0,0,98,0,0,0,0
Jason Spezza,92,0,0,0,84,0,0,0,0,0,0,0,0,0,0
James Neal,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0
Anze Kopitar,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0
Mark Scheifele,0,0,0,0,0,0,0,0,0,82,0,0,0,63,0
Evgeny Kuznetsov,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0
Joe Thornton,96,0,89,0,0,0,0,0,82,0,0,0,0,0,0
Claude Giroux,0,0,0,0,93,0,86,0,0,0,102,0,0,0,0
Mitchell Marner,0,0,0,0,0,0,0,0,0,0,0,0,0,67,97
Joe Pavelski,0,0,0,0,0,0,79,0,78,0,0,0,0,0,0
Marc Savard,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0
Jiri Hudler,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0
Patrick Kane,0,0,88,0,0,55,0,0,106,89,0,110,84,66,0
Nikita Kucherov,0,0,0,0,0,0,0,0,0,85,100,128,85,0,0
Daniel Sedin,0,0,0,104,0,0,0,76,0,0,0,0,0,0,0
Brad Richards,0,0,91,77,0,0,0,0,0,0,0,0,0,0,0
Steven Stamkos,0,0,95,91,97,57,0,0,0,0,0,98,0,0,106
Daniel Alfredsson,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan MacKinnon,0,0,0,0,0,0,0,0,0,0,97,99,93,65,0
Jakub Voracek,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0
Nicklas Backstrom,0,88,101,0,0,0,0,78,0,86,0,0,0,0,0
Taylor Hall,0,0,0,0,0,50,80,0,0,0,93,0,0,0,0
Jack Eichel,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0
Henrik Sedin,0,0,112,94,81,0,0,0,0,0,0,0,0,0,0
Blake Wheeler,0,0,0,0,0,0,0,0,78,0,91,0,0,0,0
Chris Kunitz,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
Leon Draisaitl,0,0,0,0,0,0,0,0,0,77,0,105,110,84,110
Auston Matthews,0,0,0,0,0,0,0,0,0,0,0,0,80,66,106
J.T. Miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
Ilya Kovalchuk,87,91,0,0,83,0,0,0,0,0,0,0,0,0,0
Aleksander Barkov,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0
Eric Staal,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
Ryan Getzlaf,0,91,0,0,0,49,87,0,0,0,0,0,0,0,0
John Tavares,0,0,0,0,81,0,0,86,0,0,0,0,0,0,0
David Pastrnak,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0
Alexander Ovechkin,112,110,109,85,0,56,79,81,0,0,0,0,0,0,0
Corey Perry,0,0,0,98,0,0,82,0,0,0,0,0,0,0,0
Vincent Lecavalier,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Tkachuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
