Rk,Name,Team,Age,Pos,GP,G,A,P
1,Jamie Benn,DAL,25,F,82,35,52,87
2,John Tavares,NYI,24,F,82,38,48,86
3,Sidney Crosby,PIT,27,F,77,28,56,84
4,Alexander Ovechkin,WSH,29,F,81,53,28,81
5,Jakub Voracek,PHI,25,F,82,22,59,81
6,Nicklas Backstrom,WSH,27,F,82,18,60,78
7,Tyler Seguin,DAL,22,F,71,37,40,77
8,Jiri Hudler,CGY,30,F,78,31,45,76
9,Daniel Sedin,VAN,34,F,82,20,56,76
10,Vladimir Tarasenko,STL,23,F,77,37,36,73
11,Nick Foligno,CBJ,27,F,79,31,42,73
12,Claude Giroux,PHI,26,F,81,25,48,73
13,Henrik Sedin,VAN,34,F,82,18,55,73
14,Steven Stamkos,TBL,24,F,82,43,29,72
15,Tyler Johnson,TBL,24,F,77,29,43,72
16,Ryan Johansen,CBJ,22,F,82,26,45,71
17,Joe Pavelski,SJS,30,F,82,37,33,70
18,Evgeni Malkin,PIT,28,F,69,28,42,70
19,Ryan Getzlaf,ANA,29,F,77,25,45,70
20,Rick Nash,NYR,30,F,79,42,27,69
21,Max Pacioretty,MTL,26,F,80,37,30,67
22,Logan Couture,SJS,25,F,82,27,40,67
23,Jonathan Toews,CHI,26,F,81,28,38,66
24,Erik Karlsson,OTT,24,D,82,21,45,66
25,Henrik Zetterberg,DET,34,F,77,17,49,66
26,Nikita Kucherov,TBL,21,F,82,29,36,65
27,Pavel Datsyuk,DET,36,F,63,26,39,65
28,Joe Thornton,SJS,35,F,78,16,49,65
29,Patrick Kane,CHI,26,F,61,27,37,64
30,Mark Stone,OTT,22,F,80,26,38,64
31,Alexander Steen,STL,30,F,74,24,40,64
32,Johnny Gaudreau,CGY,21,F,80,24,40,64
33,Kyle Turris,OTT,25,F,82,24,40,64
34,Anze Kopitar,LAK,27,F,79,16,48,64
35,Radim Vrbata,VAN,33,F,79,31,32,63
36,Jaden Schwartz,STL,22,F,75,28,35,63
37,Filip Forsberg,NSH,20,F,82,26,37,63
38,Jordan Eberle,EDM,24,F,81,24,39,63
39,Ondrej Palat,TBL,23,F,75,16,47,63
40,Zach Parise,MIN,30,F,74,33,29,62
41,Sean Monahan,CGY,20,F,81,31,31,62
42,Jeff Carter,LAK,29,F,82,28,34,62
43,Andrew Ladd,WPG,29,F,81,24,38,62
44,Jason Spezza,DAL,31,F,82,17,45,62
45,Mike Ribeiro,NSH,34,F,82,15,47,62
46,Blake Wheeler,WPG,28,F,79,26,35,61
47,Phil Kessel,TOR,27,F,82,25,36,61
48,Marian Hossa,CHI,35,F,82,22,39,61
49,Scott Hartnell,CBJ,32,F,77,28,32,60
50,Tomas Plekanec,MTL,32,F,82,26,34,60
